,EMA_accuracy,accuracy,learning_rate,loss_c,epoch
0,0.3602535937500001,0.75,0.01,0.14504116773605347,1.0
1,0.5481234051160939,0.71875,0.01,0.1530921459197998,2.0
2,0.6455322192883023,0.625,0.01,0.16438493132591248,3.0
3,0.7028724756507947,0.875,0.01,0.10698051750659943,4.0
4,0.7286228138323342,0.71875,0.01,0.14055117964744568,5.0
5,0.7482788493058699,0.75,0.01,0.12154680490493774,6.0
6,0.7575405912039609,0.8125,0.01,0.12168081104755402,7.0
7,0.7591317230800243,0.71875,0.01,0.11976867914199829,8.0
8,0.7639689095453713,0.8125,0.01,0.11158699542284012,9.0
9,0.7686587762577017,0.78125,0.01,0.09795547276735306,10.0
10,0.7657710699631695,0.71875,0.001,0.11776018142700195,11.0
11,0.7710655181922969,0.78125,0.001,0.09729114174842834,12.0
12,0.7720369863036325,0.75,0.001,0.10088958591222763,13.0
13,0.7715103892881889,0.75,0.001,0.09780288487672806,14.0
14,0.7743971277937047,0.75,0.001,0.0936318039894104,15.0
15,0.7747668214918144,0.6875,0.001,0.11156640946865082,16.0
16,0.7782489168804314,0.75,0.001,0.10630854964256287,17.0
17,0.7790735388858535,0.84375,0.001,0.08526252210140228,18.0
18,0.7767298705790369,0.78125,0.001,0.10157942026853561,19.0
19,0.7883347554003941,0.875,0.001,0.08485423028469086,20.0
20,0.7933070044947409,0.84375,0.00010000000000000002,0.09099344909191132,21.0
21,0.7936580240256899,0.75,0.00010000000000000002,0.09921440482139587,22.0
22,0.7892134139462367,0.65625,0.00010000000000000002,0.1269511878490448,23.0
23,0.7847357721710021,0.625,0.00010000000000000002,0.13656261563301086,24.0
24,0.7859506072483295,0.6875,0.00010000000000000002,0.11924105882644653,25.0
25,0.7860827204166596,0.75,0.00010000000000000002,0.10714055597782135,26.0
26,0.7978779932709501,0.78125,0.00010000000000000002,0.11949608474969864,27.0
27,0.795919891121907,0.75,0.00010000000000000002,0.10747729241847992,28.0
28,0.7904699003577176,0.8125,0.00010000000000000002,0.08753970265388489,29.0
29,0.7880207080660059,0.78125,0.00010000000000000002,0.0956335961818695,30.0
30,0.7860260131153063,0.6875,1.0000000000000003e-05,0.10812314599752426,31.0
31,0.7960273566860115,0.8125,1.0000000000000003e-05,0.09699645638465881,32.0
32,0.7939348557145707,0.75,1.0000000000000003e-05,0.09134510159492493,33.0
33,0.7945116899058073,0.71875,1.0000000000000003e-05,0.11535465717315674,34.0
34,0.7852739619952324,0.65625,1.0000000000000003e-05,0.1259366273880005,35.0
35,0.7915478733867084,0.8125,1.0000000000000003e-05,0.08223742246627808,36.0
36,0.7930024933805059,0.8125,1.0000000000000003e-05,0.09446752816438675,37.0
37,0.7844033193346296,0.6875,1.0000000000000003e-05,0.11182528734207153,38.0
38,0.7891021156805149,0.84375,1.0000000000000003e-05,0.08793479949235916,39.0
39,0.7933232487093688,0.78125,1.0000000000000003e-05,0.09313696622848511,40.0
40,0.7899555006173558,0.6875,1.0000000000000002e-06,0.1180768609046936,41.0
41,0.7892072724535883,0.75,1.0000000000000002e-06,0.10947132110595703,42.0
42,0.7914028520800076,0.84375,1.0000000000000002e-06,0.07914066314697266,43.0
43,0.7998256731122515,0.875,1.0000000000000002e-06,0.08571048080921173,44.0
44,0.8063403117944482,0.78125,1.0000000000000002e-06,0.09849265962839127,45.0
45,0.7954362391403536,0.8125,1.0000000000000002e-06,0.07752202451229095,46.0
46,0.7901025241149887,0.71875,1.0000000000000002e-06,0.10303649306297302,47.0
47,0.7864993130181939,0.71875,1.0000000000000002e-06,0.10441902279853821,48.0
48,0.7857621376597022,0.84375,1.0000000000000002e-06,0.07744033634662628,49.0
49,0.78448918495001,0.8125,1.0000000000000002e-06,0.08906368166208267,50.0
50,0.7813480606890184,0.78125,1.0000000000000002e-07,0.09175915271043777,51.0
51,0.7858777384706328,0.75,1.0000000000000002e-07,0.09523992985486984,52.0
52,0.7884188699605719,0.75,1.0000000000000002e-07,0.10111626237630844,53.0
53,0.7907770501707163,0.75,1.0000000000000002e-07,0.10479867458343506,54.0
54,0.7997530025697759,0.90625,1.0000000000000002e-07,0.07811251282691956,55.0
55,0.8042405041886845,0.875,1.0000000000000002e-07,0.09660214185714722,56.0
56,0.7991030027865388,0.84375,1.0000000000000002e-07,0.08551196753978729,57.0
57,0.7953381926538812,0.75,1.0000000000000002e-07,0.1018209382891655,58.0
58,0.7875014494421715,0.71875,1.0000000000000002e-07,0.11246740072965622,59.0
59,0.7937053077929972,0.78125,1.0000000000000002e-07,0.10175443440675735,60.0
60,0.7938547924788184,0.75,1.0000000000000004e-08,0.08821246027946472,61.0
61,0.8011224847697358,0.8125,1.0000000000000004e-08,0.1000194326043129,62.0
62,0.8019387406785132,0.9375,1.0000000000000004e-08,0.0682310163974762,63.0
63,0.8010116575349298,0.75,1.0000000000000004e-08,0.10539886355400085,64.0
64,0.7941036862920208,0.78125,1.0000000000000004e-08,0.08770138025283813,65.0
65,0.7917821946467181,0.75,1.0000000000000004e-08,0.09546752274036407,66.0
66,0.7993299588052467,0.78125,1.0000000000000004e-08,0.10217788815498352,67.0
67,0.8002789626374193,0.84375,1.0000000000000004e-08,0.09842514246702194,68.0
68,0.7968733959329928,0.875,1.0000000000000004e-08,0.07586239278316498,69.0
69,0.7997088506580257,0.78125,1.0000000000000004e-08,0.09911928325891495,70.0
70,0.802543602552552,0.875,1.0000000000000005e-09,0.07141076028347015,71.0
71,0.8039822934341309,0.84375,1.0000000000000005e-09,0.090751513838768,72.0
72,0.8033220602549279,0.84375,1.0000000000000005e-09,0.08015706390142441,73.0
73,0.8013543102739392,0.875,1.0000000000000005e-09,0.08032338321208954,74.0
74,0.8001780047562926,0.8125,1.0000000000000005e-09,0.0829201489686966,75.0
75,0.799603492775689,0.8125,1.0000000000000005e-09,0.08418333530426025,76.0
76,0.796579298554205,0.78125,1.0000000000000005e-09,0.09066253900527954,77.0
77,0.7922769615029452,0.84375,1.0000000000000005e-09,0.08854998648166656,78.0
78,0.7840811481980869,0.8125,1.0000000000000005e-09,0.08072227239608765,79.0
79,0.7805669632295397,0.71875,1.0000000000000005e-09,0.10563786327838898,80.0
80,0.7827857250056701,0.78125,1.0000000000000006e-10,0.09428202360868454,81.0
81,0.7952666472327384,0.8125,1.0000000000000006e-10,0.09086624532938004,82.0
82,0.7981118647720138,0.75,1.0000000000000006e-10,0.10607538372278214,83.0
83,0.791306961276304,0.90625,1.0000000000000006e-10,0.07543724030256271,84.0
84,0.7871120878076404,0.6875,1.0000000000000006e-10,0.11789034307003021,85.0
85,0.7910909475565804,0.84375,1.0000000000000006e-10,0.07747829705476761,86.0
86,0.7894685392604168,0.875,1.0000000000000006e-10,0.07424848526716232,87.0
87,0.7877695124730955,0.78125,1.0000000000000006e-10,0.09915515780448914,88.0
88,0.7919002049782145,0.875,1.0000000000000006e-10,0.08952673524618149,89.0
89,0.7947021118338273,0.90625,1.0000000000000006e-10,0.08106691390275955,90.0
90,0.7988926912650811,0.75,1.0000000000000004e-11,0.10516020655632019,91.0
91,0.796991924488606,0.84375,1.0000000000000004e-11,0.07988646626472473,92.0
92,0.7939825290921494,0.71875,1.0000000000000004e-11,0.1093098372220993,93.0
93,0.7896002442432613,0.71875,1.0000000000000004e-11,0.1149667277932167,94.0
94,0.7852930059008831,0.71875,1.0000000000000004e-11,0.09917852282524109,95.0
95,0.7862893065989713,0.78125,1.0000000000000004e-11,0.09835201501846313,96.0
96,0.7939730628882642,0.90625,1.0000000000000004e-11,0.08565157651901245,97.0
97,0.8020488072644021,0.84375,1.0000000000000004e-11,0.0857764482498169,98.0
98,0.7966468389314012,0.65625,1.0000000000000004e-11,0.12154689431190491,99.0
99,0.7973876989785429,0.8125,1.0000000000000004e-11,0.08748562633991241,100.0
